"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"loris","no context",51,2,1,3,1,327,"1,2,3",2,3,3,3,2,4,2,3,3,5,4,3,"uneasy"
"gorilla","no context",31,2,3,4,1,1729,"2,5",1,3,4,4,1,4,3,4,1,5,3,2,"Funny"
"gorilla","no context",32,1,1,4,1,247,"2",4,4,4,4,4,4,4,4,4,4,4,4,"It looking big"
"loris","no context",36,1,3,4,1,395,"1,2,3",4,4,5,4,5,5,4,4,4,5,5,4,"Humanity"
"gorilla","no context",30,1,1,5,1,189,"1,2,3",3,4,4,4,3,4,3,4,3,3,3,3,"good"
"loris","informative",25,2,1,4,1,360,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,4,"cute"
"loris","informative",25,2,1,4,1,360,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,4,"cute"
"loris","informative",25,2,1,4,1,399,"1,2,3,4,5",4,5,4,4,5,2,5,4,5,4,4,4,"The animal look very nice and great"
"loris","informative",25,2,1,4,1,399,"1,2,3,4,5",4,5,4,4,5,2,5,4,5,4,4,4,"The animal look very nice and great"
"loris","no context",34,2,1,4,1,892,"1,2,4,5",5,4,4,4,4,5,5,4,5,4,4,4,"wild animal"
"gorilla","informative",54,1,1,4,1,497,"2",5,4,5,4,5,5,5,4,4,4,4,4,"save all animels "
"gorilla","informative",33,1,1,4,1,479,"1,2,3",3,4,4,4,4,4,4,4,4,4,4,4,"good"
"loris","no context",29,2,1,4,1,198,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"cute"
"loris","no context",58,2,1,4,1,238,"1",1,4,4,2,1,2,1,4,1,4,4,2,"interesting"
"loris","no context",24,1,1,5,0,589,"1,2,3,4,5",4,4,5,4,4,4,5,4,4,4,5,5,"design"
"gorilla","informative",35,1,4,4,0,782,"1,2",1,2,4,3,3,2,4,3,2,5,2,4,"wondering Gods creature"
"gorilla","informative",48,2,1,4,1,551,"1,2,3,4,5",2,4,3,4,3,2,3,4,2,5,4,4,"wildlifeanimalpicture"
"gorilla","no context",34,2,3,4,0,254,"2",4,4,4,4,4,4,4,4,4,4,4,4,"very closest picture between man and animal"
"gorilla","no context",19,2,6,2,1,238,"2,3,5",1,4,4,4,1,4,2,2,1,5,4,3,"Disappointment"
"loris","no context",38,2,2,2,1,402,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"RESEARCH"
"loris","no context",64,2,1,3,1,336,"6",2,3,4,3,1,2,2,2,2,5,3,2,"Inhuman"
"loris","informative",62,1,1,4,1,375,"1,2,3,4,5",4,4,4,5,5,5,4,4,4,5,4,5,"Jessd"
"loris","no context",55,2,6,5,1,506,"1,2",4,4,4,4,4,4,4,4,4,4,4,4," It turns out that mice and rats are the most commonly used animals in research"
"gorilla","informative",34,2,1,4,1,705,"1,2,3",5,5,5,4,5,5,5,4,4,4,5,4,"good"
"loris","no context",64,2,1,4,1,485,"1,2,3,5",1,4,3,5,1,3,5,5,1,5,5,5,"Research"
"gorilla","informative",46,2,1,4,1,554,"2",4,4,4,4,5,4,4,4,4,4,4,4,"animal"
"gorilla","no context",47,1,1,4,1,228,"1,2,5",1,4,4,4,1,5,2,4,1,5,4,4,"Calm"
